seq	citeUrn	ctsUrn	analysis	surfaceForm
6722	urn:cite:fu:synTok_tlg0085_tlg003_fu.6722	urn:cts:greekLit:tlg0085.tlg003.fu:1033@πᾶν[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6722	πᾶν
6723	urn:cite:fu:synTok_tlg0085_tlg003_fu.6723	urn:cts:greekLit:tlg0085.tlg003.fu:1033@ἔπος[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6723	ἔπος
6724	urn:cite:fu:synTok_tlg0085_tlg003_fu.6724	urn:cts:greekLit:tlg0085.tlg003.fu:1033@τελεῖ[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6724	τελεῖ
6725	urn:cite:fu:synTok_tlg0085_tlg003_fu.6725	urn:cts:greekLit:tlg0085.tlg003.fu:1033@·[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6725	·
6726	urn:cite:fu:synTok_tlg0085_tlg003_fu.6726	urn:cts:greekLit:tlg0085.tlg003.fu:1033@σὺ[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6726	σὺ
6727	urn:cite:fu:synTok_tlg0085_tlg003_fu.6727	urn:cts:greekLit:tlg0085.tlg003.fu:1033@δὲ[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6727	δὲ
6728	urn:cite:fu:synTok_tlg0085_tlg003_fu.6728	urn:cts:greekLit:tlg0085.tlg003.fu:1034@πάπταινε[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6728	πάπταινε
6729	urn:cite:fu:synTok_tlg0085_tlg003_fu.6729	urn:cts:greekLit:tlg0085.tlg003.fu:1034@καὶ[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6729	καὶ
6730	urn:cite:fu:synTok_tlg0085_tlg003_fu.6730	urn:cts:greekLit:tlg0085.tlg003.fu:1034@φρόντιζε[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6730	φρόντιζε
6731	urn:cite:fu:synTok_tlg0085_tlg003_fu.6731	urn:cts:greekLit:tlg0085.tlg003.fu:1034@,[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6731	,
6732	urn:cite:fu:synTok_tlg0085_tlg003_fu.6732	urn:cts:greekLit:tlg0085.tlg003.fu:1034@μη[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6732	μη
6733	urn:cite:fu:synTok_tlg0085_tlg003_fu.6733	urn:cts:greekLit:tlg0085.tlg003.fu:1034@δ᾽[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6733	δ᾽
6734	urn:cite:fu:synTok_tlg0085_tlg003_fu.6734	urn:cts:greekLit:tlg0085.tlg003.fu:1034@αὐθαδίαν[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6734	αὐθαδίαν
6735	urn:cite:fu:synTok_tlg0085_tlg003_fu.6735	urn:cts:greekLit:tlg0085.tlg003.fu:1035@εὐβουλίας[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6735	εὐβουλίας
6736	urn:cite:fu:synTok_tlg0085_tlg003_fu.6736	urn:cts:greekLit:tlg0085.tlg003.fu:1035@ἀμείνον᾽[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6736	ἀμείνον᾽
6737	urn:cite:fu:synTok_tlg0085_tlg003_fu.6737	urn:cts:greekLit:tlg0085.tlg003.fu:1035@ἡγήσῃ[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6737	ἡγήσῃ
